,T_MBON_1,T_MBON_2,T_MBON_3,T_MBON_4,T_MBON_5,T_MBON_6,T_MBON_7,T_MBON_8,T_MBON_9,T_MBON_10,T_MBON_11,T_MBON_12,T_MBON_13,T_MBON_14,T_MBON_15,T_MBON_16
F_384_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_401_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_402_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_403_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_404_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_405_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_406_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_407_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_408_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_409_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_410_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F_411_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F_412_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F_413_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F_414_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_415_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F_416_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_433_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_434_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_435_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_436_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_437_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_438_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_439_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_440_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_441_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_442_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F_443_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F_444_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F_445_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F_446_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_447_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F_448_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_465_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_466_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_467_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_468_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_469_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_470_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_471_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_472_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_473_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_474_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F_475_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F_476_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F_477_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F_478_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_479_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F_480_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_497_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_498_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_499_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_500_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_501_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_502_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_503_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_504_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_505_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_506_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F_507_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F_508_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F_509_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F_510_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_511_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F_512_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_529_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_530_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_531_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_532_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_533_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_534_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_535_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_536_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_537_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_538_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F_539_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F_540_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F_541_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F_542_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_543_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F_544_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_561_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_562_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_563_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_564_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
